Id_Property,Judul,Lokasi,Harga,Kamar,WC,Parkir,Luas_Tanah,Luas_Bangunan,Harga_Normalized,Kamar_Normalized,WC_Normalized,Parkir_Normalized,Luas_Tanah_Normalized,Luas_Bangunan_Normalized,Judul_Clean,Lokasi_Clean,Deskripsi_Clean,Keywords_Clean,Image_Link,Property_Link
16,Rumah Cantik 2 Lantai Dalam Perumahan Palagan One Gate System,"Sleman, Sleman",16000000000,5,4,2,166,147,0.11740045,0.444444444,0.375,0.05,0.555932203,0.603305785,rumah cantik 2 lantai rumah palagan one gate system,sleman sleman,jual rumah cantik 2 lantai rumah mewah villa green village lokasi sangat prestisus dan,rumah premier,https://picture.rumah123.com/r123-images/720x420-crop/customer/1505363/2024-07-31-19-26-53-8d2007f4-0847-46e6-9b7e-6ad9cc98f8a6.jpg,https://www.rumah123.com/properti/bantul/hos17739841/
17,Villa Private Pool Dekat Pusat Wisata Kota Jogja,"Ngaglik, Sleman",299000000,1,1,1,36,36,0.001919654,0,0,0,0.115254237,0.144628099,villa private pool dekat pusat wisata kota jogja,ngaglik sleman,villa privatepool spesifikasi fasilitas luxury bedroom bathroom kitchen,rumah premier dekat pusat belanja dekat sekolah dekat tempat ibadah,https://picture.rumah123.com/r123-images/720x420-crop/customer/1755814/b678cb9fb8cea6e0db9c04fd16af4b59.jpg,https://www.rumah123.com/properti/sleman/hos17175300/
18,Dijual Rumah Murah Siap Huni Dua Lantai Dekat Stadion Maguwoharjo,"Maguwoharjo, Yogyakarta",2000000000,4,5,2,150,190,0.014430503,0.333333333,0.5,0.05,0.501694915,0.780991736,jual rumah murah siap huni lantai dekat stadion maguwoharjo,maguwoharjo yogyakarta,jual cepat rumah murah siap huni mang jalan aspal dekat jalan utama lantai kontruksi bangun,rumah premier siap huni dekat pusat belanja dekat sekolah,https://picture.rumah123.com/r123-images/720x420-crop/customer/1505363/49a528dd5adabb57dd59eda5a2eca3a8.jpg,https://www.rumah123.com/properti/yogyakarta/hos18681065/
19,Rumah Mewah Klasik Modern - Berkualitas Premium Di Jalan Kaliurang Km 13 Sukoharjo Ngaglik Sleman,"Ngaglik, Sleman",1.28E+11,3,2,1,146,100,0.94116003,0.222222222,0.125,0,0.488135593,0.409090909,rumah mewah klasik modern kualitas premium jalan kaliurang km 13 sukoharjo ngaglik sleman,ngaglik sleman,rumah mewah klasik modern kualitas premium jalan kaliurang km 13 sukoharjo ngaglik sleman,rumah premier dekat sekolah dekat landmark,https://picture.rumah123.com/r123-images/720x420-crop/customer/65490/845c6b315450d2afc1afd2abaf084135.jpg,https://www.rumah123.com/properti/sleman/hos18118571/
20,Villa 2 Lantai Fully Furnished di Jl Kaliurang Jogja,"Sleman, Sleman",548000000,2,1,1,59,93,0.003751048,0.111111111,0,0,0.193220339,0.380165289,villa 2 lantai fully furnished jl kaliurang jogja,sleman sleman,dapat harga promo launching 500jutaan luas bangun 93 m2 luas tanah 59 5 m2 fasilitas type,rumah premier full furnished dekat sekolah dekat tempat ibadah,https://picture.rumah123.com/r123-images/720x420-crop/customer/2038163/56a8e66c8a753c3d5810a43a21d29743.jpg,https://www.rumah123.com/properti/sleman/hos17984205/
21,Rumah Cantik 2 Lantai di Perum Villa Green Village Jl Palagan,"Ngaglik, Sleman",16000000000,4,3,2,166,147,0.11740045,0.333333333,0.25,0.05,0.555932203,0.603305785,rumah cantik 2 lantai perum villa green village jl palagan,ngaglik sleman,kamu neng rumah yg banyak kamar neng ngundang saudara kerabat utk nginep rumah cek,rumah premier,https://picture.rumah123.com/r123-images/720x420-crop/customer/2098639/d88f1d56da2b3f8b532558b576110f17.jpg,https://www.rumah123.com/properti/sleman/hos18599043/
22,5 Menitan Saja !! Ke Kampus Sanata Dharma..rumah Murah Tanahnya Luas,"Maguwoharjo, Yogyakarta",870000000,3,2,1,155,100,0.006119357,0.222222222,0.125,0,0.518644068,0.409090909,5 menit ke kampus sanata dharma rumah murah tanah luas,maguwoharjo yogyakarta,istimewa murah banget 5 menit ke kampus sanata dharma tanah luas lho 155m hanya,rumah premier dekat sekolah dekat fasilitas sehat dekat tempat wisata,https://picture.rumah123.com/r123-images/720x420-crop/customer/736001/3b516f2e89769c018e0585be248ae307.jpg,https://www.rumah123.com/properti/yogyakarta/hos18144187/
23,"10 Menit Saja !! Ke Kampus Sanata Dharma, Tanahnya Luas Lho 204m, Carpot Bisa 4 Mobil","Maguwoharjo, Yogyakarta",900000000,4,2,4,204,100,0.006340007,0.333333333,0.125,0.15,0.684745763,0.409090909,10 menit ke kampus sanata dharma tanah luas lho 204m carpot 4 mobil,maguwoharjo yogyakarta,istimewa jarang di jogja rumah tanah luas lho 204m harga 900 jt nego akses jalan,rumah premier dekat pusat belanja dekat sekolah dekat fasilitas sehat,https://picture.rumah123.com/r123-images/720x420-crop/customer/736001/aa178bc1de7be1ef384f3bfcdee9f606.jpg,https://www.rumah123.com/properti/yogyakarta/hos18498251/
24,15 menit saja ke kampus Sanata dharma..tanahnya luas dan pinggir jalan utama,"Purwomartani, Sleman",540000000,2,1,1,136,80,0.003692208,0.111111111,0,0,0.454237288,0.326446281,15 menit ke kampus sanata dharma tanah luas pinggir jalan utama,purwomartani sleman,istimewa murah banget rumah jogja tanah luas lho 136m harga 540 juta,rumah premier dekat pusat belanja dekat sekolah dekat fasilitas sehat,https://picture.rumah123.com/r123-images/720x420-crop/customer/736001/2022-10-09-05-16-47-b7925300-108a-47b5-bef7-1242fd367cde.jpg,https://www.rumah123.com/properti/sleman/hos11368528/
25,"Rumah Asri Nyaman Baru Di Plembangan, Sukoharjo, Ngaglik, Sleman","Ngaglik, Sleman",750000000,3,2,1,125,90,0.005236757,0.222222222,0.125,0,0.416949153,0.367768595,rumah asri nyaman baru plembangan sukoharjo ngaglik sleman,ngaglik sleman,jual rumah siap huni 100 baru rumah sangat stretegis daerah plembangan sukoharjo sleman,rumah premier siap huni bebas banjir dekat sekolah,https://picture.rumah123.com/r123-images/720x420-crop/customer/2098639/844e295ed74643fcceeefc9cde433d7d.jpg,https://www.rumah123.com/properti/sleman/hos18667469/
26,"Rumah Bagus Di Jl. Gandu, Berbah, Sleman Lahan Luas Parkir 4 Mobil","Berbah, Sleman",1.15E+11,3,1,4,295,110,0.845545079,0.222222222,0,0.15,0.993220339,0.450413223,rumah bagus jl gandu berbah sleman lahan luas parkir 4 mobil,berbah sleman,jual rumah bu rumah tinggal jl gandu barat sd muh gandu berbah sleman yogyakarta spek rumah,rumah premier dekat sekolah,https://picture.rumah123.com/r123-images/720x420-crop/customer/2098639/d8af7b6f353a4688ef409e43cb8a3834.jpg,https://www.rumah123.com/properti/sleman/hos18667461/
27,Rumah Murah Banget Hook Dalam Perumahan Citra Ringin Mas Di Purwomartani Kalasan Sleman Dekat Ringin Purwomartani,"Purwomartani, Sleman",550000000,2,1,1,124,60,0.003765758,0.111111111,0,0,0.413559322,0.243801653,rumah murah banget hook rumah citra ringin mas purwomartani kalas sleman dekat ringin purwomartani,purwomartani sleman,rumah murah banget hook rumah purwomartani kalas sleman akses mudah harga 550 juta,rumah premier dekat pusat belanja dekat sekolah,https://picture.rumah123.com/r123-images/720x420-crop/customer/65490/945d7005a9a3af319749c74fa4ca28fa.jpg,https://www.rumah123.com/properti/sleman/hos18664905/
28,Rumah Baru Mewah Limasan Modern - Tata Ruang Lega Fresh Di Purwomartani Sleman Dekat Pemancingan Kadisoka,"Purwomartani, Sleman",1.15E+11,3,3,1,132,90,0.845545079,0.222222222,0.25,0,0.440677966,0.367768595,rumah baru mewah limas modern tata ruang lega fresh purwomartani sleman dekat pancing kadisoka,purwomartani sleman,rumah baru mewah limas modern tata ruang lega fresh purwomartani sleman dekat spbu kadisoka,rumah premier,https://picture.rumah123.com/r123-images/720x420-crop/customer/65490/18052b2d3168afcdb6a92ad8b4bcea3a.jpg,https://www.rumah123.com/properti/sleman/hos18664694/
29,Promo Akhir Tahun Rumah Siap Bangun SHM Di Kalasan,"Kalasan, Sleman",13000000000,3,3,2,117,80,0.095335461,0.222222222,0.25,0.05,0.389830508,0.326446281,promo akhir tahun rumah siap bangun shm kalas,kalasan sleman,grand hertindo kalas program akhir tahun dp 30 di cicil 6 bulan cash tahap bunga 0 bisa,rumah premier siap huni,https://picture.rumah123.com/r123-images/720x420-crop/customer/2102443/cf0136a58ad8d746abf6cd8b7e44bda7.jpg,https://www.rumah123.com/properti/sleman/hos18644594/
30,"Rumah 2 Lantai, Siap Huni, di Kalasan Dekat Rs Hermina Jogja","Kalasan, Sleman",16000000000,4,4,1,146,135,0.11740045,0.333333333,0.375,0,0.488135593,0.553719008,rumah 2 lantai siap huni kalas dekat rs hermina jogja,kalasan sleman,dapat sempat milik rumah murah 2 lantai kalas desain modern tata ruang,rumah premier siap huni dekat akses transportasi dekat pusat belanja,https://picture.rumah123.com/r123-images/720x420-crop/customer/2019650/b42969922693146f3349fecae715de79.jpg,https://www.rumah123.com/properti/sleman/hos18612214/
31,10 Menit Saja!! Ke Kampus Uii..free Semua Biaya Lho..,"Ngaglik, Sleman",690000000,2,1,1,91,50,0.004795458,0.111111111,0,0,0.301694915,0.202479339,10 menit ke kampus uii free semua biaya lho,ngaglik sleman,istimewa murah banget lho rumah cantik jogja 10 menit ke kampus uii 680 juta,rumah premier dekat pusat belanja dekat sekolah dekat fasilitas sehat,https://picture.rumah123.com/r123-images/720x420-crop/customer/465186/8c16a5352d636fc1159b0b3d1c7ab1f8.jpg,https://www.rumah123.com/properti/sleman/hos18597966/
32,"Rumah Minimalis Modern di Jakal Km 12,5,Dekat Kampus Uii","Ngaglik, Sleman",535000000,2,1,1,80,36,0.003655433,0.111111111,0,0,0.26440678,0.144628099,rumah minimal modern jakal km 12 5 dekat kampus uii,ngaglik sleman,yuk survei jarang rumah baru harga 400 juta jual rumah minimal modern kondisi sedang,rumah premier dekat sekolah dekat landmark,https://picture.rumah123.com/r123-images/720x420-crop/customer/1261780/f87857b779ae869fe6445af6b3715112.jpg,https://www.rumah123.com/properti/sleman/hos18610236/
33,Cukup 5 Juta Miliki Rumah Scandinavia Di Ambarketawang,"Sleman, Sleman",834000000,2,1,1,91,45,0.005854577,0.111111111,0,0,0.301694915,0.181818182,cukup 5 juta milik rumah scandinavia ambarketawang,sleman sleman,mau punya rumah desain scandinavian modern minimal kawasan luas barat,rumah premier dekat akses transportasi dekat sekolah dekat fasilitas sehat,https://picture.rumah123.com/r123-images/720x420-crop/customer/736001/06960a246c543e3318ca0451c92bff4d.jpg,https://www.rumah123.com/properti/sleman/hos17256203/
34,Rumah Cantik Dalam Cluster Di Maguwo,"Maguwoharjo, Yogyakarta",775000000,3,2,1,108,80,0.005420632,0.222222222,0.125,0,0.359322034,0.326446281,rumah cantik cluster maguwo,maguwoharjo yogyakarta,jual rumah model cluster eksklusif lokasi maguwo sleman yogyakarta rumah model cluster ada,rumah premier dekat sekolah dekat fasilitas sehat dekat tempat wisata,https://picture.rumah123.com/r123-images/720x420-crop/customer/465186/5489988893a49adbe8e328f79e046166.jpg,https://www.rumah123.com/properti/sleman/hos18147819/
35,Rumah Scandinavian Minimalis Cocok Untuk Kamu Yang Stylish,"Gamping, Sleman",810000000,3,1,1,108,70,0.005678057,0.222222222,0,0,0.359322034,0.285123967,rumah scandinavian minimal cocok kamu stylish,gamping sleman,kode arga mudah lokasi 3 menit calon gerbang tol jogja barat 3 menit spbu ambarketawang,rumah premier dekat akses transportasi dekat pusat belanja dekat sekolah,https://picture.rumah123.com/r123-images/720x420-crop/customer/1049804/19e00ca0565035274391059404a8257a.jpg,https://www.rumah123.com/properti/yogyakarta/hos18502282/
36,Rumah Konsep Minimalis Modern Antimainstream Strategis di Gamping,"Gamping, Sleman",780000000,2,1,1,108,50,0.005457407,0.111111111,0,0,0.359322034,0.202479339,rumah konsep minimal modern antimainstream strategis gamping,gamping sleman,kode arga mudah lokasi 3 menit calon gerbang tol jogja barat 3 menit spbu ambarketawang,rumah premier dekat akses transportasi dekat pusat belanja dekat sekolah,https://picture.rumah123.com/r123-images/720x420-crop/customer/967843/94d6c07b64ce429968996db1272f1c97.jpg,https://www.rumah123.com/properti/sleman/hos18142690/
37,Promo Bulan November 375 Juta Saja! Rumah Cantik Mewah - Harga Murah Dalam Perumahan Fasco Village Bangunjiwo Kasihan Bantul,"Kasihan, Bantul",350000000,2,1,1,80,36,0.002294759,0.111111111,0,0,0.26440678,0.144628099,promo bulan november 375 juta rumah cantik mewah harga murah rumah fasco village bangunjiwo kasihan bantul,kasihan bantul,promo 400 juta ptomo 400 juta ptomo 400 juta rumah cantik mewah harga murah rumah fasco,rumah premier,https://picture.rumah123.com/r123-images/720x420-crop/customer/1755814/2024-05-11-08-09-29-f62b3610-3bcc-44ee-905b-2aa66bdea859.jpg,https://www.rumah123.com/properti/sleman/hos17077349/
38,"Rumah Nyaman Siap Huni di Simping, Sidomoyo, Godean Sleman","Godean, Sleman",350000000,2,1,1,101,50,0.002294759,0.111111111,0,0,0.33559322,0.202479339,rumah nyaman siap huni simping sidomoyo godean sleman,godean sleman,lt 101 m2 lb 50 m2 kt 2 km 1 listrik 900 watt sumber air sumur carport 1 shm akses pintu tol stasiun,rumah premier siap huni bebas banjir dekat akses transportasi,https://picture.rumah123.com/r123-images/720x420-crop/customer/1755814/2024-05-11-07-52-29-58dfd128-a554-4e59-9783-02fa1c0fef65.jpg,https://www.rumah123.com/properti/sleman/hos17077200/
39,Rumah Cantik Scandinavian Dengan Mezanin Kekinian Dalam Perumahan Puri Ismail Dekat Giwangan Banguntapan Bantul,"Banguntapan, Bantul",650000000,2,1,1,98,60,0.004501258,0.111111111,0,0,0.325423729,0.243801653,rumah cantik scandinavian mezanin kini rumah puri ismail dekat giwang banguntapan bantul,banguntapan bantul,rumah cantik scandinavian mezanin kini rumah puri ismail dekat giwang banguntapan,rumah premier,https://picture.rumah123.com/r123-images/720x420-crop/customer/2109414/4ffc4c1e1358b593a99d23b6cbc936cd.jpg,https://www.rumah123.com/properti/sleman/hos18709670/
40,"Rumah SHM 2 Lantai di Gondokusuman, Yogyakarta","Gondokusuman, Yogyakarta",12000000000,3,2,1,42,42,0.087980465,0.222222222,0.125,0,0.13559322,0.169421488,rumah shm 2 lantai gondokusuman yogyakarta,gondokusuman yogyakarta,jual rumah minimal lantai lokasi strategis kawasan sagan yogyakarta rumah ini,rumah premier dekat pusat belanja dekat sekolah dekat fasilitas sehat,https://picture.rumah123.com/r123-images/720x420-crop/customer/1791207/827718fd1e6cb2d314c9a80b46cdd160.jpg,https://www.rumah123.com/properti/sleman/hos18708063/
41,Dijual Rumah Dekat Kampus Stie Ykpn Harga Rendah,"Caturtunggal, Sleman",17000000000,3,3,1,130,200,0.124755446,0.222222222,0.25,0,0.433898305,0.82231405,jual rumah dekat kampus stie ykpn harga rendah,caturtunggal sleman,rumah dekat kampus stie ykpn catur tunggal depok sleman jogja punya luas tanah 134 m2,rumah premier dekat sekolah,https://picture.rumah123.com/r123-images/720x420-crop/customer/2097247/11976e2a656908a8db35bdbcc8598990.jpg,https://www.rumah123.com/properti/yogyakarta/hos18659829/
42,Emerald Garden Regency Yogyakart  Rumah Bagus Lokasi Bagus,"Banguntapan, Bantul",11000000000,3,3,1,112,103,0.080625469,0.222222222,0.25,0,0.372881356,0.421487603,emerald garden regency yogyakart rumah bagus lokasi bagus,banguntapan bantul,rumah jual bantul jual cepat mau pindah jakarta emerald garden regency banguntapan wiyoro,rumah premier dekat akses transportasi,https://picture.rumah123.com/r123-images/720x420-crop/customer/65490/30e185cf139b8958d81b1472f940fde7.jpg,https://www.rumah123.com/properti/sleman/hos18658829/
43,Dekat Ugm Dan Uii..lingkungan Nyaman..murah Banget!!,"Ngaglik, Sleman",760000000,2,2,1,111,76,0.005310307,0.111111111,0.125,0,0.369491525,0.309917355,dekat ugm uii lingkung nyaman murah banget,ngaglik sleman,istimewa murah banget lingkung nyaman jarang hanya 760 juta nego lingkung,rumah premier dekat pusat belanja dekat sekolah dekat fasilitas sehat,https://picture.rumah123.com/r123-images/720x420-crop/customer/1997127/658e8f991f1274653b2d83c091227bbe.jpg,https://www.rumah123.com/properti/sleman/hos18654136/
44,Rumah Siap Bangun Terbesar Dan Termurah Di Kalasan Kawasan Wisata Candi Prambanan,"Ngaglik, Sleman",480000000,2,1,1,72,36,0.003250908,0.111111111,0,0,0.237288136,0.144628099,rumah siap bangun besar murah kalas kawasan wisata candi prambanan,ngaglik sleman,rumah premium besar kawasan kalas sleman rumah siap bangun konsep american clasic,rumah premier dekat pusat belanja dekat fasilitas sehat dekat tempat ibadah,https://picture.rumah123.com/r123-images/720x420-crop/customer/1924636/2024-11-08-09-01-56-05ae3a2a-c4b7-4717-a447-8e917545e47d-1731031316.jpg,https://www.rumah123.com/properti/bantul/hos18599890/
45,Rumah Cantik Minimalis Fresh Dengan Tata Ruang Nyaman Dan Lega Di Sumberadi Mlati Sleman Dekat Pasar Cebongan,"Cebongan, Sleman",615000000,3,2,1,112,90,0.004243833,0.222222222,0.125,0,0.372881356,0.367768595,rumah cantik minimal fresh tata ruang nyaman lega sumberadi mlati sleman dekat pasar cebong,cebongan sleman,rumah cantik minimal fresh tata ruang nyaman lega sumberadi mlati sleman dekat pasar,rumah premier full furnished dekat pusat belanja dekat tempat ibadah,https://picture.rumah123.com/r123-images/720x420-crop/customer/736001/e9b54fea65a0c2b0459a7b4b7e7a0550.jpg,https://www.rumah123.com/properti/sleman/hos14541110/
46,Banting Harga! Rumah Baru Coklat Cantik Minimalis - Harga Murah Banget Di Tanjung Kalitirto Berbah Sleman,"Berbah, Sleman",580000000,2,2,1,103,64,0.003986408,0.111111111,0.125,0,0.342372881,0.260330579,banting harga rumah baru coklat cantik minimal harga murah banget tanjung kalitirto berbah sleman,berbah sleman,rumah coklat cantik minimal baru harga sahabat tanjung kalitirto berbah sleman harga 580,rumah premier dekat fasilitas sehat,https://picture.rumah123.com/r123-images/720x420-crop/customer/2035688/3b66cc316ebd9a8cfbfe219232ce19e5.jpg,https://www.rumah123.com/properti/sleman/hos18370597/
47,Rumah Mewah Klasik Modern Berkualitas Premium Dalam Mini Cluster 7 Unit Di Jalan Kaliurang Km 13 Sukoharjo Ngaglik Sleman,"Ngaglik, Sleman",1.28E+11,3,2,1,146,100,0.94116003,0.222222222,0.125,0,0.488135593,0.409090909,rumah mewah klasik modern kualitas premium mini cluster 7 unit jalan kaliurang km 13 sukoharjo ngaglik sleman,ngaglik sleman,rumah mewah klasik modern kualitas premium jalan kaliurang km 13 sukoharjo ngaglik sleman,rumah premier dekat sekolah dekat landmark,https://picture.rumah123.com/r123-images/720x420-crop/customer/65490/2024-03-29-01-03-04-c4eb2d8d-d4b9-45d5-a7c0-52eb384b9e04.jpg,https://www.rumah123.com/properti/sleman/hos16794767/
